0	0	0
0	0	0
0.11528	0	0.99333
-0.16516	0.111	0.98
-0.16208	-0.19821	0.96667
0.13473	-0.27019	0.95333
0.33809	-0.045803	0.94
0.28088	0.24979	0.92667
0.025195	0.40643	0.91333
-0.26722	0.34437	0.9
-0.44953	0.10836	0.88667
-0.44883	-0.18931	0.87333
-0.27462	-0.4301	0.86
0.0041367	-0.53211	0.84667
0.2937	-0.46829	0.83333
0.50798	-0.26374	0.82
0.59065	0.020488	0.80667
0.52464	0.30883	0.79333
0.33025	0.53154	0.78
0.055293	0.63966	0.76667
-0.23879	0.61276	0.75333
-0.49111	0.45958	0.74
-0.65314	0.21299	0.72667
-0.69638	-0.078769	0.71333
-0.61543	-0.36229	0.7
-0.42662	-0.58863	0.68667
-0.16338	-0.72106	0.67333
0.13062	-0.73982	0.66
0.40905	-0.64382	0.64667
0.6301	-0.44929	0.63333
0.76219	-0.1862	0.62
0.78772	0.10702	0.60667
0.70456	0.38929	0.59333
0.52532	0.62261	0.58
0.27479	0.77677	0.56667
-0.013931	0.83284	0.55333
-0.30405	0.78483	0.54
-0.55979	0.63974	0.52667
-0.75058	0.41608	0.51333
-0.85445	0.1411	0.5
-0.86013	-0.15274	0.48667
-0.76783	-0.43174	0.47333
-0.58873	-0.66467	0.46
-0.34333	-0.8262	0.44667
-0.058818	-0.89931	0.43333
0.23404	-0.87683	0.42
0.50427	-0.7618	0.40667
0.72387	-0.56683	0.39333
0.8706	-0.31249	0.38
0.93002	-0.024963	0.36667
0.89667	0.26671	0.35333
0.7744	0.53357	0.34
0.57568	0.74959	0.32667
0.3202	0.89403	0.31333
0.032806	0.95337	0.3
-0.25898	0.92236	0.28667
-0.5276	0.80432	0.27333
-0.74799	0.61067	0.26
-0.89987	0.3597	0.24667
-0.96952	0.074753	0.23333
-0.95084	-0.21796	0.22
-0.84583	-0.49179	0.20667
-0.66426	-0.72207	0.19333
-0.42265	-0.88824	0.18
-0.14277	-0.97562	0.16667
0.15041	-0.97666	0.15333
0.43091	-0.89147	0.14
0.67405	-0.72774	0.12667
0.85857	-0.5	0.11333
0.96844	-0.22829	0.1
0.9942	0.063628	0.086667
0.93374	0.35036	0.073333
0.79241	0.60703	0.06
0.58254	0.81146	0.046667
0.32233	0.94604	0.033333
0.034258	0.99921	0.02
-0.25681	0.96644	0.0066667
